Name,Measure,Geo Place Name,Time Period,Start_Date,Data Value,Message,Year,Month,Day
13,5,37,48,2014-12-01,0.12384922922799044,,2014,12,1
13,5,106,48,2014-12-01,0.2702571704151244,,2014,12,1
13,5,81,20,2017-01-01,-0.3607822746436236,,2017,1,1
13,5,37,49,2015-12-01,0.06698353612921962,,2015,12,1
13,5,37,34,2016-06-01,-0.2992485022606253,,2016,6,1
13,5,106,49,2015-12-01,0.22824445685707723,,2015,12,1
13,5,106,34,2016-06-01,-0.08281937181007956,,2016,6,1
13,5,34,21,2018-01-01,-0.16005486542184294,,2018,1,1
13,5,37,19,2015-12-31,-0.12101274777194067,,2015,12,31
13,5,106,55,2021-12-01,0.04344242205939005,,2021,12,1
13,5,81,24,2021-01-01,-0.41224598279363023,,2021,1,1
13,5,81,27,2009-06-01,-0.5351986915361222,,2009,6,1
13,5,81,44,2010-12-01,-0.03359235390368093,,2010,12,1
13,5,81,16,2012-12-01,-0.36120664548764436,,2012,12,1
13,5,81,48,2014-12-01,-0.020012486895019378,,2014,12,1
13,5,81,39,2021-06-01,-0.6875114010446258,,2021,6,1
13,5,81,21,2018-01-01,-0.45159763526404867,,2018,1,1
13,5,81,55,2021-12-01,-0.22701914683988642,,2021,12,1
12,5,97,16,2012-12-01,-0.5037952490785921,,2012,12,1
12,5,106,49,2015-12-01,-0.5177994869312744,,2015,12,1
12,5,81,54,2020-12-01,-0.6246945563156047,,2020,12,1
12,5,81,28,2010-06-01,-0.4375933974113663,,2010,6,1
12,5,81,29,2011-06-01,-0.4439589600716765,,2011,6,1
13,5,81,30,2012-06-01,-0.5492029293888047,,2012,6,1
13,5,81,31,2013-06-01,-0.5589634588012803,,2013,6,1
13,5,97,47,2013-12-01,0.2868076333319307,,2013,12,1
13,5,97,22,2019-01-01,-0.10743288076327896,,2019,1,1
13,5,34,51,2017-12-01,0.10263068702695655,,2017,12,1
13,5,37,22,2019-01-01,-0.20291632066793147,,2019,1,1
13,5,106,25,2022-01-01,-0.12227311644755669,,2022,1,1
13,5,81,51,2017-12-01,-0.2860930060959843,,2017,12,1
13,5,81,22,2019-01-01,-0.47154306493302056,,2019,1,1
13,5,81,25,2022-01-01,-0.4112622614712311,,2022,1,1
13,5,81,42,2008-12-01,-0.006856990730378267,,2008,12,1
13,5,81,47,2013-12-01,0.06486168190911619,,2013,12,1
12,5,57,19,2015-12-31,-0.5632071672414869,,2015,12,31
12,5,97,31,2013-06-01,-0.43929088078744905,,2013,6,1
12,5,81,16,2012-12-01,-0.5704214715898385,,2012,12,1
12,5,81,24,2021-01-01,-0.6421897019594381,,2021,1,1
12,5,81,20,2017-01-01,-0.6251653104685059,,2017,1,1
12,5,81,44,2010-12-01,-0.4571144562363175,,2010,12,1
12,5,81,27,2009-06-01,-0.4859716736297236,,2009,6,1
13,5,97,37,2019-06-01,-0.2050381748880349,,2019,6,1
13,5,37,33,2015-06-01,-0.28227366849979824,,2015,6,1
13,5,37,53,2019-12-01,0.08226088651396399,,2019,12,1
12,5,106,55,2021-12-01,-0.6051964408881501,,2021,12,1
12,5,81,21,2018-01-01,-0.6361989524130436,,2018,1,1
12,5,81,39,2021-06-01,-0.5857496986492713,,2021,6,1
12,5,81,55,2021-12-01,-0.6402454106962874,,2021,12,1
12,5,81,31,2013-06-01,-0.4927616071340545,,2013,6,1
12,5,81,30,2012-06-01,-0.49403471966611645,,2012,6,1
12,5,37,19,2015-12-31,-0.5852744511305622,,2015,12,31
13,5,81,53,2019-12-01,-0.15114307769740884,,2019,12,1
13,5,81,37,2019-06-01,-0.586971934506645,,2019,6,1
13,5,81,26,2023-01-01,-0.4960910457657046,,2023,1,1
13,5,81,56,2022-12-01,-0.3893109089068088,,2022,12,1
13,5,81,46,2012-12-01,-0.09682360966276202,,2012,12,1
13,5,81,13,2009-12-01,-0.30137035648072874,,2009,12,1
13,5,111,15,2011-12-01,0.10093320365087387,,2011,12,1
13,5,84,15,2011-12-01,-0.364177241395789,,2011,12,1
13,5,84,40,2022-06-01,-0.6024669030240707,,2022,6,1
13,5,89,54,2020-12-01,-0.05405542858196426,,2020,12,1
13,5,97,17,2013-12-01,-0.030621757995536323,,2013,12,1
12,5,97,47,2013-12-01,-0.3578116787354789,,2013,12,1
12,5,106,25,2022-01-01,-0.6344333914237259,,2022,1,1
12,5,81,47,2013-12-01,-0.4745136608411653,,2013,12,1
12,5,81,51,2017-12-01,-0.5963080930750998,,2017,12,1
12,5,81,22,2019-01-01,-0.6561443820820154,,2019,1,1
12,5,81,25,2022-01-01,-0.6801457898605009,,2022,1,1
13,5,37,38,2020-06-01,-0.4240135304027046,,2020,6,1
13,5,89,27,2009-06-01,-0.21225247923638635,,2009,6,1
13,5,89,48,2014-12-01,0.06868101950530243,,2014,12,1
13,5,2,20,2017-01-01,-0.16344983217400846,,2017,1,1
13,5,2,24,2021-01-01,-0.28612776418996383,,2021,1,1
13,5,2,27,2009-06-01,-0.13798758153276772,,2009,6,1
13,5,2,16,2012-12-01,-0.15241619022947075,,2012,12,1
13,5,2,44,2010-12-01,0.2723790246352277,,2010,12,1
13,5,2,48,2014-12-01,0.08268525735798474,,2014,12,1
13,5,1,49,2015-12-01,-0.006432619886357673,,2015,12,1
13,5,1,34,2016-06-01,-0.3531435994512514,,2016,6,1
13,5,89,30,2012-06-01,-0.2856686352519636,,2012,6,1
13,5,89,31,2013-06-01,-0.27421062246340533,,2013,6,1
13,5,89,21,2018-01-01,-0.2050381748880349,,2018,1,1
13,5,89,55,2021-12-01,-0.1041350936612818,,2021,12,1
13,5,2,21,2018-01-01,-0.1973994996956627,,2018,1,1
13,5,2,55,2021-12-01,-0.049330370297622564,,2021,12,1
13,5,2,30,2012-06-01,-0.23941221325370976,,2012,6,1
13,5,2,31,2013-06-01,-0.25681141785855754,,2013,6,1
13,5,2,19,2015-12-31,-0.16769354061421515,,2015,12,31
13,5,1,39,2021-06-01,-0.4702763556477498,,2021,6,1
13,5,73,19,2015-12-31,-0.13289513140451956,,2015,12,31
13,5,84,30,2012-06-01,-0.5475054460127219,,2012,6,1
13,5,83,20,2017-01-01,-0.1978238705396833,,2017,1,1
13,5,21,29,2011-06-01,-0.34465618257083785,,2011,6,1
13,5,83,55,2021-12-01,-0.08483115356940268,,2021,12,1
13,5,76,20,2017-01-01,-0.19358016209947662,,2017,1,1
13,5,76,24,2021-01-01,-0.2727335904046328,,2021,1,1
13,5,76,21,2018-01-01,-0.20334069151195208,,2018,1,1
13,5,76,39,2021-06-01,-0.4519327592220884,,2021,6,1
12,5,83,20,2017-01-01,-0.60267365573541,,2017,1,1
12,5,76,34,2016-06-01,-0.5929131263229345,,2016,6,1
12,5,76,54,2020-12-01,-0.6123852675387615,,2020,12,1
13,5,76,55,2021-12-01,-0.09651687229484956,,2021,12,1
13,5,83,51,2017-12-01,-0.049718445976466796,,2017,12,1
13,5,76,25,2022-01-01,-0.2874507021028223,,2022,1,1
13,5,76,22,2019-01-01,-0.27590810583948805,,2019,1,1
13,5,76,51,2017-12-01,0.023697710039110493,,2017,12,1
12,5,76,48,2014-12-01,-0.5441104792605564,,2014,12,1
12,5,76,20,2017-01-01,-0.6060686224875754,,2017,1,1
12,5,76,24,2021-01-01,-0.6243794152591794,,2021,1,1
13,5,21,56,2022-12-01,-0.12838756869455956,,2022,12,1
13,5,21,26,2023-01-01,-0.3205260481350702,,2023,1,1
12,5,76,19,2015-12-31,-0.6162535227440716,,2015,12,31
12,5,76,21,2018-01-01,-0.6200728603402578,,2018,1,1
12,5,76,55,2021-12-01,-0.6199739981021302,,2021,12,1
12,5,76,39,2021-06-01,-0.562281426943639,,2021,6,1
13,5,76,33,2015-06-01,-0.38115207515661614,,2015,6,1
13,5,76,37,2019-06-01,-0.34041247413063114,,2019,6,1
13,5,76,53,2019-12-01,-0.03741169149986703,,2019,12,1
13,5,76,56,2022-12-01,-0.1381791000946742,,2022,12,1
13,5,76,26,2023-01-01,-0.26346647272879165,,2023,1,1
13,5,86,28,2010-06-01,0.04576499392818572,,2010,6,1
13,5,53,54,2020-12-01,-0.0073408723709684634,,2020,12,1
12,5,21,22,2019-01-01,-0.6395939191652089,,2019,1,1
12,5,83,22,2019-01-01,-0.6357745815690229,,2019,1,1
13,5,84,31,2013-06-01,-0.5699971007458178,,2013,6,1
12,5,81,42,2008-12-01,-0.4609337938325036,,2008,12,1
12,5,97,37,2019-06-01,-0.5156776327111711,,2019,6,1
12,5,30,15,2011-12-01,-0.5139801493350884,,2011,12,1
12,5,111,15,2011-12-01,-0.4817279651895168,,2011,12,1
12,5,1,15,2011-12-01,-0.5305306122518948,,2011,12,1
12,5,84,15,2011-12-01,-0.5419886250404531,,2011,12,1
8,7,111,8,2015-01-01,-0.880636558568954,,2015,1,1
12,5,30,44,2010-12-01,-0.39473194216527785,,2010,12,1
12,5,30,27,2009-06-01,-0.46560187311673107,,2009,6,1
12,5,111,44,2010-12-01,-0.27505936415144666,,2010,12,1
12,5,111,27,2009-06-01,-0.35271922860723076,,2009,6,1
12,5,111,16,2012-12-01,-0.49615657388621986,,2012,12,1
12,5,105,20,2017-01-01,-0.5398667708203497,,2017,1,1
12,5,1,27,2009-06-01,-0.4745136608411653,,2009,6,1
12,5,1,16,2012-12-01,-0.5504760419208666,,2012,12,1
12,5,1,24,2021-01-01,-0.6263971969008064,,2021,1,1
12,5,2,54,2020-12-01,-0.6214521468079045,,2020,12,1
12,5,2,28,2010-06-01,-0.41340425930218766,,2010,6,1
12,5,2,29,2011-06-01,-0.424862272090746,,2011,6,1
12,5,2,34,2016-06-01,-0.5763626634061281,,2016,6,1
12,5,2,49,2015-12-01,-0.5780601467822107,,2015,12,1
12,5,34,26,2023-01-01,-0.6162708003664298,,2023,1,1
12,5,97,17,2013-12-01,-0.4817279651895168,,2013,12,1
12,5,37,18,2015-01-01,-0.5335012081600395,,2015,1,1
12,5,97,32,2014-06-01,-0.48809352784982696,,2014,6,1
12,5,97,52,2018-12-01,-0.5530222669849907,,2018,12,1
8,7,1,6,2013-01-01,-0.8254683488462659,,2013,1,1
13,5,84,16,2012-12-01,-0.4049168424217741,,2012,12,1
13,5,84,44,2010-12-01,-0.020861228583060713,,2010,12,1
13,5,84,27,2009-06-01,-0.4350471723472422,,2009,6,1
12,5,30,29,2011-06-01,-0.43080346390703544,,2011,6,1
